"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Machine Learning Engineer (FULLY REMOTE, USA)","California, United States","2024-05-22","Splunk","Machine Learning Engineer (MLE), Artificial Intelligence

Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we’re committed to our work, customers, having fun and most importantly to each other’s success. Learn more about Splunk careers and how you can become a part of our journey!

Role

As a Machine Learning Engineer in the Artificial Intelligence group, you will be responsible for developing the core AI/ML capabilities to power the entire Splunk product portfolio and help our customers to drive their journey to digital resiliency. You will collaborate with cross-functional teams, mentor junior team members, and help drive the engineering roadmap of the area.

Responsibilities

The responsibilities of this role include


 * Development of the AI/ML platform and infrastructure that drives our product’s key ML use cases in the cybersecurity and observability domains.
 * Collaborate closely with software engineers, applied scientists, and product managers to integrate generative AI solutions into our products and services.
 * Stay up to date with the latest developments in the field of AI/ML, and ensure that these advancements are properly incorporated into our technology roadmap.
 * Actively participate in cross-functional discussions and strategic decisions related to AI directions and product roadmaps.
   
   

Requirements

Knowledge, Skills, and Abilities


 * Bachelor's or Master's degree in Computer Science, Engineering, or a related field with at least 3+ years of industry experience.
 * Experience with containerization and orchestration tools (e.g., Docker, Kubernetes).
 * Experience with model deployment and serving into production environments
 * Knowledge of version control systems, especially Git.
 * Knowledge of CI/CD principles and tools.
 * Familiarity with cloud platforms (AWS, GCP, Azure) and serverless architecture.
 * Experience with MLOps platforms such as MLflow or Kubeflow.
 * Previous experience working in cross-functional teams and collaborating with data scientists and DevOps teams.
 * Excellent problem-solving skills and the ability to troubleshoot complex issues.
 * Excellent communication skills with the ability to articulate complex technical concepts to both technical and non-technical audiences.
   
   

Splunk is an Equal Opportunity Employer At Splunk, we believe creating a culture of belonging isn’t just the right thing to do; it’s also the smart thing. We prioritize diversity, equity, inclusion, and belonging to ensure our employees are supported to bring their best, most authentic selves to work where they can thrive. Qualified applicants receive consideration for employment without regard to race, religion, color, national origin, ancestry, sex, gender, gender identity, gender expression, sexual orientation, marital status, age, physical or mental disability or medical condition, genetic information, veteran status, or any other consideration made unlawful by federal, state, or local laws. We consider qualified applicants with criminal histories, consistent with legal requirements.

Note

Base Pay Range

SF Bay Area, Seattle Metro, and New York City Metro Area

Base Pay Range $146,400.00 - 201,300.00 per year

California (excludes SF Bay Area), Washington (excludes Seattle Metro), Washington DC Metro, and Massachusetts

Base Pay Range $131,760.00 - 181,170.00 per year

All other cities and states excluding California, Washington, Massachusetts, New York City Metro Area and Washington DC Metro Area.

Base Pay Range $117,120.00 - 161,040.00 per year

Splunk provides flexibility and choice in the working arrangement for most roles, including remote and/or in-office roles. We have a market-based pay structure which varies by location. Please note that the base pay range is a guideline and for candidates who receive an offer, the base pay will vary based on factors such as work location as set out above, as well as the knowledge, skills and experience of the candidate. In addition to base pay, this role is eligible for incentive compensation and may be eligible for equity or long-term cash awards.

Benefits are an important part of Splunk's Total Rewards package. This role is eligible for a competitive benefits package which includes medical, dental, vision, a 401(k) plan and match, paid time off and much more! Learn more about our comprehensive benefits and wellbeing offering at https //splunkbenefits.com.

","Over 200 applicants","Full-time","Not Applicable","Engineering and Information Technology","Software Development, IT Services and IT Consulting, and Technology, Information and Internet"
"Artificial Intelligence Engineer","Newport Beach, CA","2024-05-08","Harnham","6-Month Contract

Onsite, Newport Beach, CA

$65 to $75/hour





Overview:

Come join a growing AI team. You will be responsible for developing a next generation chatbot using AI and LLM technology. You will work closely with a cross-functional team to design AI applications. The ideal candidate has experience seeing successful ML projects to fruition, has worked in an Azure environment, and has experience with python web frameworks (Django / Flask).





Responsibilities:



 * Build and design scalable POC's for GenAI chatbots
 * Design and development - focus on GenAI, NLU, NLP, and ML development and understanding
 * Collaborate closely with product manager, UX/UI frameworks
 * testing - implement rigorous testing frameworks
 * Security, implement responsible AI



Skills:

 * 2-3+ Experience working as an ML Engineer, must have strong python expereinnce
 * Working in Azure environment
 * Familiarity with cutting edge GenAI applications (GPT, OpenAI, Llama, etc.)
 * Experience with Python web frameworks (e.g., Django, Flask)

","Over 200 applicants","Contract","Mid-Senior level","Engineering","Financial Services"
"Machine Learning Engineer - Inference and Production","Mountain View, CA","2024-05-13","Resemble AI","About The Company

At Resemble AI, we are at the forefront of Generative Voice AI, transforming how content is created and consumed across various industries. Our cutting-edge text-to-speech generator, coupled with real-time APIs, enables the creation of immersive voice-centric experiences. Our technology is trusted by creatives and corporations alike for applications in advertising, gaming, virtual assistance, and call centers, delivering flexibility and realism in speech like never before.

About The Role

As a Machine Learning Engineer focusing on inference and serving models in production, you will be instrumental in operationalizing and optimizing our AI models for live environments. This role places you at the heart of our production team, where you will ensure the seamless deployment and scalability of our voice AI technologies.

What You'll Do


 * Implement, monitor, and maintain machine learning models in production environments to ensure high availability and low latency.
 * Collaborate with data scientists and developers to optimize model performance, including resource management and cost efficiency.
 * Design and develop robust systems for real-time inference and batch processing of voice data.
 * Manage the lifecycle of models from deployment to updates and scaling, ensuring smooth transitions and minimal downtime.
 * Develop tools and frameworks to automate model training, testing, validation, and deployment processes.
 * Continuously evaluate and incorporate state-of-the-art ML deployment practices and technologies into the infrastructure.
 * Work closely with product teams to integrate AI capabilities into customer-facing applications.
   
   

Responsibilities


 * Deploy scalable machine learning solutions across multiple platforms and environments.
 * Optimize machine learning pipelines for performance and speed.
 * Monitor model performance and make adjustments to inference configurations.
 * Ensure data privacy and security standards are upheld in deployment processes.
 * Provide technical leadership and insights to improve product features and architecture.
   
   

Requirements


 * Strong experience in deploying and managing machine learning models in production.
 * Proficient with ML deployment tools (e.g., TensorFlow Serving, TorchServe) and cloud platforms (AWS, GCP, Azure).
 * Expertise in Python and familiarity with software development best practices.
 * Knowledge of containerization and orchestration technologies (Docker, Kubernetes).
 * Excellent problem-solving, troubleshooting, and analytical skills.
   
   

Preferred Qualifications


 * Degree in computer science, engineering, or related field with a specialization in machine learning.
 * Experience with voice or speech recognition technologies.
 * Familiarity with performance tuning and optimization of real-time systems.
 * Contributions to open-source projects or active engagement in the ML community.
   
   

This role is pivotal in bringing the power of voice AI to everyday applications, enhancing the way we interact with technology.","Over 200 applicants","Full-time","Not Applicable","Engineering and Information Technology","Software Development"
"Machine Learning Engineer","San Francisco, CA","2024-02-06","Tome","About The Role

Tome is bringing storytelling into the modern era by constantly narrowing the gap between what creators mean to express and what their audiences experience.

The next innovative leap in our journey is adding the latest AI/ML capabilities to Tome's existing magic. To enable that, the team is looking to hire a Lead ML Engineer to build Tome's most magical and amazing features, craft our AI/ML strategy, and build out an outstanding team.

Tome's AI/ML team will be building front-and-center experiences into the product to bring the next level of wow to our users. There's much innovative work ahead, from generating images, text, and layouts to enhancing videos to completing AI story creation.

What You'll Do


 * Drive a large impact on Tome's growth by shipping magical creation experiences that customers are eager to use
 * Help drive Tome's AI/ML strategy in tight collaboration with founders and execs
 * Identify user needs and product features that are well suited for AI/ML solutions and frame the problems
 * Develop prototypes for innovative creation experiences based on generative AI models like GPT-3 and Stable Diffusion and drive the development of those into robust product features
 * Work closely with product designers to apply AI/ML to create features that delight users and stimulate and augment creators' imagination
   
   

Who You Are


 * You have a BS or MS degree in CS, AI, or applied math
 * You have 5+ years of experience building AI/ML based products or features in NLP or vision domains
 * You have a strong understanding of deep learning AI/ML frameworks or cloud services
 * You have hands-on ML Ops experience
   
   

Bonus Points


 * Experiencing leading AI/ML product initiatives
 * Publications in applied AI/ML scientific journals
 * Experience navigating open source/vendor solutions in LLM ops space (Langchain, Llama-7b, Pinecone, Gantry, etc)
   
   

$140,000/year to $225,000/year + equity + benefits

Tome Perks

💰 Compensation & Equity


 * We offer competitive compensation & equity packages. At Tome we want you to feel ownership over the work you do and capitalize on the upside you create in the company.
   
   

🏝 Unlimited PTO


 * Take the time you need to with unlimited vacation days.
   
   

🏩 Full Medical/Dental/Vision Insurance Coverage


 * Choose the coverage that suits you.
   
   

🛌 Sick Leave


 * Unlimited. Take the days you need to feel your best and do your best work.
   
   

👼 Parental Leave


 * Tome offers 3 months of paid time off for maternity & paternity leave.
   
   

💸 Retirement


 * Tome offers a 401k plan through Human Interest
   
   

🍱 Weekly Lunch Stipend


 * Weekly UberEats credit to order a favorite meal.
   
   

🚎 Commuter Benefits


 * For those in the Bay Area we offer: up to $25/day in parking ($350 for a monthly pass) & Muni/Bart rides (up to $350/month).","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"Applied ML Engineer, Speech","San Francisco, CA","2024-05-16","Speak","About Us

Our mission is to become the de facto way people learn foreign languages. We begin by teaching the next billion people English and Spanish.

English is the global language of business, culture, and communication, and over 1.5 billion people around the world are actively trying to learn right now. Others dream of communicating with the half-billion native Spanish speakers across the globe. The problem is that it's nearly impossible to learn to speak a language without constant access to a speaking partner. Grammar and vocab apps don't really help – you need to actually converse with someone.

Speak is on a journey to fix this. We're creating an AI-powered experience that replicates the flow of a conversation, without needing a human on the other end. The goal is to make it radically more accessible to be able to have conversations in a foreign language and eventually help hundreds of millions of people gain fluency who otherwise wouldn't be able to.

We started on this journey over five years ago and we've still got a long ways to go. We're thoughtfully adding new team members only when we think they can truly play a big role in our mission.

Speak launched first in South Korea where we have quickly grown to become the top grossing education app in the country. We have now delivered this winning product to more than 30 countries globally and are continuing to expand to more markets in the coming months. The company is well funded, raising a recent Series B backed by investors like OpenAI, Founders Fund, Y Combinator, Khosla Ventures, Lachy Groom, Josh Buckley, and others. We’re a team of 60 based primarily in SF, Seoul, Tokyo, and Ljubljana.

About This Role

We are looking for an experienced Machine Learning Engineer to join our team and help develop cutting-edge phoneme recognition models to provide learners with effective pronunciation feedback. In this role you will take ownership of the end-to-end modeling pipeline, from training and experimentation to deployment and monitoring. You will also work closely with Product teams to design innovative learning experiences and measure the efficacy of production models as they affect our end users. We are a small, dynamic team where you will likely also contribute as a developer and thought partner on broader team projects like ASR, assessment, content personalization, and much more. This is an incredibly exciting time to join an ML team designing a personalized learning experience that will revolutionize language learning for millions of learners worldwide — come join us!

What You'll Be Doing


 * Training and deploying phoneme recognition models end-to-end, including monitoring, performance tracking, and retraining
 * Expanding our Pronunciation Coach to provide precise feedback and integrate more broadly across our learning platform
 * Tracking metrics to measure performance of existing phoneme models across markets
 * Building out an assessment system to provide nuanced feedback on pronunciation, intonation, prosody, and more
 * Building and maintaining data infrastructure; i.e. audio data pipelines, training/evaluation datasets creation and management, labeling/active learning loop
 * Supporting the broader Speech & ML team (e.g. developing and localizing ASR models)
   
   

What We're Looking For


 * Extensive experience training and deploying custom deep learning models to production (experience with audio/speech strongly preferred)
 * Proficiency in Python and common Deep Learning frameworks like PyTorch
 * Strong communication skills and the ability to explain complex ML concepts to non-technical stakeholders
 * Sharp product sense and an ability to think broadly and cross-functionally about model quality in the context of user experience
   
   

Office


 * San Francisco, CA
   
   

Why work at Speak


 * Join a fantastic, tight-knit team at the right time: we're growing very quickly, we've raised our Series B and an additional extension from some of the top investors in the valley, and we've achieved product-market fit in our initial markets. You'd join at a magical time when a single person could significantly change the course of the company.
 * Do your life's work with people you’ll love working with: we care strongly about our craft and want every person at Speak to feel like they're growing every day. We believe in the idea that working with people you both enjoy and have respect for makes everything better. We hire thoughtfully and only work with people we admire deeply.
 * Global in nature: We're live in over 40 countries and launching in a number of new markets soon. We have dedicated offices in San Francisco, Ljubljana, Seoul, and Tokyo, and you’ll have the opportunity to talk to users in each of these regions on a regular basis as well as travel.
 * Impact people's lives in a major way: Learning a language is one of the single most life-changing skills one can learn, and right now 99% of people never achieve their goal because the process is broken. We’re helping millions of people achieve their goals and improve their lives.
   
   

Speak does not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","E-Learning Providers"
"Perception - Deep Learning Algorithm Engineer, Autonomous Driving (Multiple roles/Levels)","Newark, CA","2024-05-18","EV.Careers","Leading the future in luxury electric and mobility

At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.

We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience.

Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

We are currently seeking a perception algorithm engineer for our ADAS/Autonomous Driving team. This position requires an experienced professional with strong programming skills and solid knowledge of state-of-the-art perception algorithms.

As a member of the Lucid Motors perception team, you will research, design, implement, optimize and deploy deep learning models which will push the state of the art in perception algorithms. Doing literature reviews for a particular computer vision problem, implementing models, modifying algorithms to improve their performance. In addition, you will play a pivotal role in the design and implementation of the overall data and training infrastructure.

This role is located on-site at Headquarters in Newark, CA.

Role Responsibilities


 * Work in a world-class ADAS/Autonomous Driving team
 * Design the camera/lidar perception algorithm for Lv.2/3 autonomous driving systems. Building neural networks. Construct and develop cutting edge deep learning algorithms for computer vision tasks, 2D/3D object detection, segmentation, tracking and multi-task learning
 * Work closely with other teams to ensure a seamless and robust implementation
 * Test, release, and launch the perception algorithm into the Lucid production programs
 * Support the production validation and verification of the perception algorithms using prototype vehicles, pre-production vehicles
 * Propose cutting edge S/W algorithms for the future autonomous driving systems
   
   

Required Qualifications


 * Bachelors in the areas of Computer Engineering, Electrical Engineering, Automotive Engineering, Mechanical Engineering
 * 5 years of work experience
 * Strong theoretical foundations and knowledge with state-of-the-art works in deep learning algorithms on object detection, tracking, segmentation etc.
 * Strong experience with Python programming language with an emphasis on good software engineering practices.
 * Comfortable with reading, debugging and modifying large codebases for a particular deep learning model
 * Experience with Pytorch or other ML frameworks like TensorFlow, MXNet
 * Design and construct evaluation pipelines to unit-test your ML model through a multitude of varying conditions and environments
 * Excellent communication skills and good team player
   
   

Preferred Qualifications


 * Masters minimum in the areas of Computer Engineering, Electrical Engineering, Automotive Engineering, Mechanical Engineering
 * At least 3 years of work experience or a Ph.D.
 * Advanced degrees preferred
 * Experience writing efficient, clean code in C++
 * A practical hands-on approach to complement the theoretical knowledge and creativity required to solve Autonomous Driving
 * Experience testing complex perception systems
 * Experience in working in agile development teams
 * Experience in component and system integration, testing and verification on system and vehicle level
   
   

Lucid maintains your privacy according to its Candidate Privacy Notice. If you are a California resident, please refer to our California Candidate Privacy Notice.

To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.","62 applicants","Full-time","Entry level","Engineering and Information Technology","Staffing and Recruiting"
"SENIOR ML ENGINEER","Boston, MA","2024-05-30","Jesica.ai","About

Jesica is revolutionizing the recruitment industry by transforming candidate screening & sourcing. Through comprehensive conversations, Jesica assesses candidates' career paths, skills, and aspirations to identify the most qualified individuals for the hiring manager's review and potential interview.

Responsibilities


 * Collaborate with stakeholders to gather user requirements and define features
 * Contribute to design documents and identify dependencies for product development
 * Write efficient and reusable code for products, services, or features
 * Assist in breaking down large work items into manageable tasks and provide accurate estimations
   
   

Requirements


 * Bachelor of Computer Science or related field
 * Master of Computer Science with focus on Machine Learning
 * Postgraduate Certificate in Machine Learning Engineering
 * 5+ years of experience in machine learning and deep learning
 * Solid understanding of natural language processing
 * Proficiency in big data technologies
 * Leadership skills to drive projects and mentor junior team members
 * Strong problem-solving abilities and adaptability to evolving challenges
 * Excellent communication skills to collaborate effectively with cross-functional teams
 * Experience working in a team-oriented and accountable environment
   
   

Benefits

Comprehensive Health Care Flex work schedules Competitive Pay","Be among the first 25 applicants","Full-time","Mid-Senior level","Engineering and Information Technology","Technology, Information and Internet"
"Machine Learning Platform Engineer","Waltham, MA","2024-05-20","Boston Dynamics","As a ML Platform Engineer on the Central Software (CSW) team, you will play an active role in implementing the tools, infrastructure, and pipelines that unify how our product and research teams get stuff done. This is your chance to work closely with ML/RL engineers and researchers from across BD, supporting product and advanced research activities at the forefront of robotics innovation.

How You Will Make An Impact


 * Transform proofs of concepts into scalable solutions, helping product teams deliver new robot capabilities to customers.
 * Evolve and scale fielded solutions, enabling continuous model improvement and redeployment
 * Dig into and optimize both cloud and on-robot ML system implementations, for accuracy and efficiency
 * Work closely with other members of the ML Platform team to implement, deploy, and maintain ML infrastructure
 * Work with stakeholders across BD to understand requirements, ensuring deployed solutions meet end-user needs
 * Own end-to-end delivery of new capabilities, spanning implementation, testing, deploying, and operations
 * Be an active participant in our agile development process, coordinating work with others, calling out challenges, and communicating progress regularly
 * Use your experience to mentor/upskill peers and other contributors across the organization
   
   

We Are Looking For


 * Hands-on experience or Interest in ML application for robotics
 * 7+ years experience as a Senior Software Engineer or ML engineer
 * Demonstrated proficiency in Python, Julia, or R, and related frameworks (PyTorch, Tensorflow, Pandas, Numpy)
 * Knowledge of distributed computing & big data technologies for large datasets (e.g., Spark)
 * Familiarity with cloud platform (e.g., Google, AWS) and scalable ML deployment methods (Docker, K8s, Ansible, Terraform)
 * Experience with data processing and data cleaning techniques
 * Experience with Agile, Scrum or other lean methods
 * Ability to work collaboratively in cross-functional teams
 * Bachelors in Engineering, Computer Science, or other technical area
   
   ","97 applicants","Full-time","Entry level","Engineering and Information Technology","Automation Machinery Manufacturing"
"Principal Machine Learning Engineer","San Francisco, CA","2024-04-11","Unreal Staffing, Inc","About the Company: Our company is at the forefront of space exploration and technology, dedicated to unlocking the mysteries of the universe and making space more accessible. We are pioneering new technologies in spacecraft design, propulsion, and remote sensing, with a focus on sustainable exploration and the utilization of space resources. Join us to be part of a visionary team of space enthusiasts and technologists who are shaping the future of interplanetary travel and exploration, where your work contributes to groundbreaking missions and the expansion of human presence in space.

Responsibilities:


 * Lead the development of machine learning models to analyze and interpret vast amounts of data from space missions, enhancing our understanding of the cosmos and improving mission efficiency
 * Design and implement AI-driven systems for autonomous spacecraft navigation, anomaly detection, and real-time decision-making in complex space environments
 * Collaborate with astronomers, engineers, and data scientists to integrate AI into our space exploration programs, ensuring the seamless operation of spacecraft and rovers
 * Develop predictive models for space weather and celestial phenomena, aiding in mission planning and risk assessment
 * Innovate in the field of remote sensing, applying machine learning to process and analyze satellite imagery for Earth observation, planetary science, and resource mapping
 * Spearhead research initiatives to leverage AI in the development of life support systems, habitat automation, and sustainable space living solutions
 * Establish scalable data pipelines and infrastructure to support AI/ML operations in space and ground-based systems
 * Promote a culture of continuous learning and experimentation, staying abreast of advancements in AI, machine learning, and space technology
 * Engage in cross-sector collaborations to drive innovation in space technology, participating in conferences, workshops, and industry consortia
 * Mentor and lead a team of machine learning engineers and data scientists, guiding project direction and fostering professional growth
   
   
   

Requirements

Minimum Requirements:


 * Passionate about space exploration and a strong desire to contribute to pioneering space missions
 * 6+ years of experience in machine learning and AI, with specific expertise in areas relevant to space technology, such as robotics, remote sensing, or autonomous systems
 * Advanced understanding of ML algorithms, data processing, and statistical methods, with the ability to apply these in high-stakes, technically complex environments
 * Proficiency in programming languages such as Python and C++, and familiarity with ML frameworks like TensorFlow, PyTorch, and Huggingface
 * Excellent analytical, problem-solving, and communication skills, with experience in interdisciplinary collaboration
 * A Master's or PhD in Computer Science, Aerospace Engineering, Astrophysics, or a related field
   
   
   

Preferred Requirements:


 * Direct experience in the space industry or working on space-related technology projects
 * Published research or demonstrated innovation in the application of AI/ML to space exploration, robotics, or Earth observation
 * Knowledge of satellite communication systems and data transmission in space environments
 * Experience with simulating space missions or developing AI systems for space operations
   
   
   

Benefits


 * Competitive salary range ($210k - $290k) with equity options in a pioneering space exploration company
 * Unique opportunities to contribute to high-profile space missions and technologies
 * Flexible work arrangements, including remote work options and a focus on work-life balance
 * Comprehensive health, dental, and vision insurance, with additional support for mental and physical wellness
 * Continuous learning and development opportunities, including access to seminars, workshops, and training in space technology and AI
 * A collaborative and innovative work environment, where creativity and groundbreaking ideas are actively encouraged and supported","Be among the first 25 applicants","Full-time","Director","Engineering","Non-profit Organizations and Primary and Secondary Education"
"Customer Success Junior ML Engineer, Onboarding Specialist","United States","2023-06-14","Arize AI","The Opportunity

AI is rapidly changing the world. From processing job applications and credit decisions, to making content recommendations and helping researchers analyze genetic markers at scale -- many aspects of our daily lives are touched by machine learned systems in some way.

Arize is the leading machine learning observability platform to help ML teams discover issues, diagnose problems, and improve the results of machine learning models. In short: we are here to build world class software that helps make AI work better.

The Team

Our engineering team builds systems that interact with some of the most complex software ever deployed in production. The team is composed of industry veterans that have built deep learning infrastructure, autonomous drones, ridesharing marketplaces, ad tech and much more.

We are looking for a client-obsessed ML Solutions Engineer with entrepreneurial tendencies to join the good fight and help build out our Solutions Engineering org. You’ll be the trusted technical advisors for our customers, driving business value, offering advice, and growing accounts. You’ll accomplish this by leading customers to solutions oftentimes by teaching the product to new users or consulting on best practices. You must be ready for technical discussions with data scientists and engineers, then demonstrate the value of Arize in business discussions with directors and executives. The goal is to enable our customers to become successful and enthusiastic about Arize.

What You’ll Do


 * Collaborate closely with new Arize customers as they onboard onto Arize. You will work with customers to advise on:
    * Arize use cases
    * Data integration methods
    * ML observability and MLOps best practices

 * You will act as a trusted advisor to our customers, while also building relationships with technical stakeholders
 * You will act as the “Voice of the Customer” - Regularly engaging them on status calls, educating on product roadmap and QBRs, managing escalations, while influencing our roadmap in partnership with our Product team
 * Interface with our pre-sales engineering team to gather client goals and KPI’s for onboarding
 * Collaborate with Customer Success Engineers to understand and execute against the overall goals for the onboarding accounts
   
   

What We’re Looking For


 * 1-2 years experience in a customer facing role
 * Experienced cloud computing environments (AWS, Azure, GCP)
 * Experienced in a programming language (Python, R, Java, Go, etc), and SQL
 * Knowledge of machine learning frameworks such as TensorFlow, PyTorch or Scikit-learn
 * Understanding of ML/DS concepts, model evaluation strategies and lifecycle (feature generation, model training, model deployment, batch and real time scoring via REST APIs) and engineering considerations
 * Strong Communication Skills - Ability to simplify complex, technical concepts
 * A quick and self learner - undaunted by technical complexity of production ML deployments and welcome the challenge to learn about them and develop your own POV
   
   

Bonus Points, But Not Required

Customer facing experience strongly preferred such as Solutions Architect, Onboarding Specialists, Sales Engineer, Customer Success Engineer, Consultant, or Professional Services roles.

The estimated annual salary and variable compensation for this role is between $90,000 - $115,000, plus a competitive equity package. Actual compensation is determined based upon a variety of job related factors that may include: transferable work experience, skill sets, and qualifications. Total compensation also includes a comprehensive benefit package, including: medical, dental, vision, 401(k) plan, unlimited paid time off, generous parental leave plan, and others for mental and wellness support.

More About Arize

Arize’s mission is to make the world’s AI work and work for the people. Our founders came together through a common frustration: investments in AI are growing rapidly across businesses and organizations of all types, yet it is incredibly difficult to understand why a machine learning model behaves the way it does after it is deployed into the real world.

Learn more about Arize in an interview with our founders: https://www.forbes.com/sites/frederickdaso/2020/09/01/arize-ai-helps-us-understand-how-ai-works/#322488d7753c

Diversity & Inclusion @ Arize

Our company's mission is to make AI work and make AI work for the people, we hope to make an impact in bias industry-wide and that's a big motivator for people who work here. We actively hope that individuals contribute to a good culture


 * Regularly have chats with industry experts, researchers, and ethicists across the ecosystem to advance the use of responsible AI
 * Culturally conscious events such as LGBTQ trivia during pride month
 * We have an active Lady Arizers subgroup","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"Research Engineer","United States","2024-05-10","Allora Labs","About Allora Labs:

Allora Labs' mission is to commoditize all forms of intelligence. Operating at the intelligence layer of the AI stack, we believe that building at the intersection of crypto and AI is the optimal path to achieving our mission.

As crypto-natives and ML experts with experience across leading Web3 projects, large finance companies, and large tech companies, our team combines deep blockchain knowledge with world-class technical capabilities. We’re backed by top crypto venture funds and angel investors who share our vision for the future of digital ownership.

At Allora Labs, we nurture our people just as much as our products, providing an environment where top talent can thrive at the intersection of crypto and AI. Together, we’re building the infrastructure to enable financial markets for anything. Join us as we shape the next frontier.

Key Responsibilities:

 * Conduct state-of-the-art research to support the development and expansion of the Allora Network
 * Innovate and design new solutions that pave the way for groundbreaking applications on Allora, broadening its functionality and reach
 * Undertake detailed quantitative modeling and analysis for proposed use case designs, ensuring their viability and effectiveness
 * Provide comprehensive proofs and thorough risk assessments for all research outputs
 * Actively participate in the research publication process, contributing to the dissemination of knowledge and findings
 * Offer insights and stay abreast of the latest trends and developments at the intersection of crypto, AI, and ML

Requirements:

 * PhD in a quantitative science field
 * At least 3 years of professional experience working with AI/ML technologies
 * Deep understanding of statistics, algorithm design, and quantitative modeling
 * Proficiency in Python and Git, with the ability to effectively develop and manage code
 * Experience with web3 technologies and blockchain
 * Exceptional verbal and written communication skills, with the capacity to articulate complex concepts clearly and concisely
 * A self-driven, tenacious attitude, combined with creativity and a collaborative spirit

This Organization Participates in E-Verify

This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. If E-Verify cannot confirm that you are authorized to work, this employer is required to give you written instructions and an opportunity to contact the Department of Homeland Security (DHS) or Social Security Administration (SSA) so you can begin to resolve the issue before the employer can take any action against you, including terminating your employment.Employers can only use E-Verify once you have accepted a job offer and completed the Form I-9.

For more information on E-Verify, or if you believe that an employer has violated its E-Verify responsibilities, please contact DHS.

888-897-7781

E-Verify.gov




Allora Labs is an equal opportunity employer. We value diversity at our company and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","Over 200 applicants","Full-time","Mid-Senior level","Engineering and Research","Software Development"
"Solutions Engineer - AI/ML","Springfield, VA","2023-09-25","INflow Federal","We are looking for an engineer who enjoys disrupting the ""norm"" to support our Data Modernization and Emerging Solutions group. You will work as a AI/ML Solutions Developer to solution, build and test tools and applications within an R&D environment.


 * Perform tasks related to computational linguistics and human language technologies
 * Leverage text processing large collections with standard NLP tools for parsing, entity extraction, POS tagging, topic discovery and classification (such as sentiment analysis)
 * Apply image object detection techniques, as needed, to identify items of interest in pictures
 * Perform tasks related to image generation and computer vision, leveraging techniques such as generative adversarial networks and convolutional neural networks
 * Leverage image forensic techniques to identify generated images and images that have had filters applied to them
   
   
   

Required Skills


 * Demonstrated experience with strong coding experience in Python and Java
 * Demonstrated hands on experience developing machine learning methods, including familiarity with techniques in clustering, regression, optimization, recommender engines, artificial neural networks
 * Demonstrated experience programming in JavaScript or similar scripting language
 * Demonstrated experience working in a Linux environment
 * Demonstrated experience using deep learning and natural language processing libraries such as
   
   
   

PyTorch, TensorFlow, Keras, or scikit.


 * Demonstrated experience with natural language processing (NLP) methodologies (e.g., NLTK,
   
   
   

OpenNLP, GenSIM, TF-IDF, or SVC sk-learn).


 * Demonstrated experience of natural language, tuning hyper-parameters of existing NLP models for domain-specific data sets
 * Demonstrated hands-on experience collecting, curating, and adapting and extending a range of analytics on natural language data extracted from multimodal sources
   
   
   

Required Education:

Masters Degree preferred.

Bachelors Degree required.

Required Experience:

MS + 2 years

BS + 5 years

No Degree + 15 years

Clearance Required

Must have a minimum of a DoD TS/SCI clearance","Be among the first 25 applicants","Full-time","Not Applicable","Engineering and Information Technology","IT Services and IT Consulting"
